"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$897,090,115,376","$47,419.00","18,918,762","$34,756,931,803","0.72 %",2022-01-03 12:11:37
2,"Ethereum","$457,067,851,167","$3,839.75","119,006,532","$10,618,152,500","2.84 %",2022-01-03 12:11:37
3,"Binance Coin","$89,317,374,457","$531.22","168,137,036","$590,950,711","1.77 %",2022-01-03 12:11:37
4,"Tether","$78,521,191,172","$1.00","78,337,861,182","$40,781,795,825","0.58 %",2022-01-03 12:11:37
5,"Solana","$54,064,513,902","$174.81","309,284,206","$871,014,706","-0.19 %",2022-01-03 12:11:37
6,"Cardano","$44,019,024,297","$1.37","32,066,390,668","$751,752,149","1.04 %",2022-01-03 12:11:37
7,"USD Coin","$42,685,801,028","$1.00","42,597,930,756","$1,951,799,639","0.42 %",2022-01-03 12:11:37
8,"XRP","$40,248,467,074","$0.85","47,535,964,473","$1,922,205,001","0.21 %",2022-01-03 12:11:37
9,"Terra","$33,825,545,448","$93.62","361,248,781","$1,405,714,960","4.91 %",2022-01-03 12:11:37
10,"Polkadot","$32,217,909,362","$30.10","1,070,327,000","$1,305,775,760","4.73 %",2022-01-03 12:11:37
11,"Avalanche","$27,260,449,214","$111.94","243,747,643","$658,030,678","-3.18 %",2022-01-03 12:11:37
12,"Dogecoin","$22,990,036,389","$0.17","132,670,764,300","$768,337,790","0.33 %",2022-01-03 12:11:37
13,"Shiba Inu","$18,669,225,761","$0.00","549,149,546,975,890","$489,219,493","0.54 %",2022-01-03 12:11:37
14,"Polygon","$17,252,236,554","$2.51","6,872,890,164","$916,807,307","-0.36 %",2022-01-03 12:11:37
15,"Crypto.com Coin","$14,743,690,209","$0.58","25,263,013,692","$171,781,822","0.35 %",2022-01-03 12:11:37
16,"Binance USD","$14,481,450,385","$1.00","14,434,991,724","$2,499,615,632","0.67 %",2022-01-03 12:11:37
17,"Wrapped Bitcoin","$12,247,995,356","$47,410.00","258,341","$332,297,337","0.55 %",2022-01-03 12:11:37
18,"Algorand","$10,770,544,460","$1.69","6,374,056,860","$238,269,036","1.22 %",2022-01-03 12:11:37
19,"Cosmos","$10,709,776,558","$37.54","285,286,118","$1,036,396,667","7.59 %",2022-01-03 12:11:37
20,"Chainlink","$10,497,415,978","$22.48","467,009,550","$998,249,731","7.12 %",2022-01-03 12:11:37
21,"Litecoin","$10,464,783,350","$150.93","69,333,371","$607,524,580","1.34 %",2022-01-03 12:11:37
22,"TerraUSD","$10,213,749,633","$1.00","10,182,338,102","$115,798,930","0.35 %",2022-01-03 12:11:37
23,"Dai","$9,026,944,859","$1.00","9,011,520,752","$268,019,575","0.28 %",2022-01-03 12:11:37
24,"Near","$8,830,114,582","$14.66","602,419,253","$281,279,065","1.12 %",2022-01-03 12:11:37
25,"Uniswap","$8,563,511,350","$18.96","452,308,285","$317,590,475","9.71 %",2022-01-03 12:11:37
26,"Bitcoin Cash","$8,456,166,450","$446.20","18,945,244","$1,757,866,508","0.51 %",2022-01-03 12:11:37
